,Akuapem ,"English (Target, Many)",True Label
102,"Ná ne ho ye, na na ɔnom nsa.",He was good and drunk.,1
105,Ná yɛhwɛ sɛnea asubɔnten no mu dɔ fa.,We measured the depth of the river.,1
109,Me mu reyɛ duru.,I'm gaining weight.,1
113,Yɛsrɛ sɛ fa wo tekiti wɔ ɔpon no ano.,Please pick up your ticket at the counter.,1
117,"Sɛ́ Asamoah no, ɔwɔ dan abien a adan abien wom.",Asamoah has a house with two rooms.,1
120,Minni sika pii saa bere no.,I don't have enough money at the moment.,1
124,Sɛ obi a onim nyansa yiye te sɛ Asamoah.,Asamoah is a very clever man.,1
128,"Bere a Ɔhemmaa no soo nkuruwa no mu no, ɔde guu adaka no mu.",Asamoah rinsed off the plates and put them into the dishwasher.,1
131,Mepɛ sɛ wosan susuw gyinae a woasi no ho.,I want you to reconsider your decision.,1
134,Ɛyɛ nwonwa yiye.,It's quite remarkable.,1
137,Meyɛ aso tie asɛm yiye.,I'm attentive.,1
141,Wususuw ho dɛn ankasa?,What do you really think?,1
145,Woyɛ nea wubetumi biara.,You do what you can.,1
149,"Sɛnea mihu no, ɛno ne ɔkwan a eye sen biara.","As I see it, that is the best way.",1
152,Mepɛ sɛ migye wo sika.,I want to hire you.,1
156,Ná adetɔfo foforo biara nni sotɔɔ no mu.,There were no other customers in the store.,1
159,Ɛyɛ nwonwa sɛ ebetumi aba saa.,One wonders how it's possible.,1
162,Asamaoh ye nipa kese,Asamoah's great.,1
166,So wotee nteɛteɛm no?,Didn't you hear the scream?,1
169,Ná ne fã adwudwo.,He had a stroke.,1
172,Esi bɔɔ ne tirim sɛ ɔbɛyɛ ne fie ho mfonini.,Esi hired Asamoah to paint her house.,1
175,Medɔ wo paa.,I love you so much.,1
179,Megyina w'akyi wɔ ahohia bere mu.,I'll stand by you in time of need.,1
183,Mewɔ mmirikatufo nan na ɛyɛ me yaw yiye.,I have athlete's foot and it's very itchy.,1
186,Me nuabarima hwɛ television.,My brother watches television.,1
189,"Ná misusuw sɛ sɛ Asamoah hwɛ Esi a, n'ani begye papa.",I thought Asamoah would be glad to see Esi.,1
193,Ɔtoo dwom yiye araa ma ɛyɛ den sɛ obi betumi ate nusu.,He sings so well that it's impossible to hold back tears.,1
196,Nsa a wɔnom no ɔha biara mu 5 na ɛwɔ saa aduru yi mu.,This beer contains 5% alcohol.,1
200,Ná wosusuw hokwan biara a wobenya ho.,They took every possibility into consideration.,1
204,"Anigyesɛm ne sɛ, hyɛn no mufo biara anhaw.","Fortunately, no passengers were injured.",1
208,Mfutuma akata ɔpon no so.,The desk is covered with dust.,1
211,So ɛyɛ nokware sɛ na wowɔ TV so besi nnɛ?,Is it true that you were on TV yesterday?,1
215,Obiara anto nsa frɛɛ me sɛ memmra apontow no ase.,Nobody invited me to the party.,1
218,Minnim bere tenten a saa tebea yi bedi.,I don't know how long this situation is going to last.,1
222,Wasiesie ne ho bere nyinaa.,He is always prepared.,1
225,Ná onniidi nnanu.,He hadn't eaten in two days.,1
228,"Esiane sɛ na m'ani so atan me nti, anka mereyɛ akyere me.",Asamoah risked getting in trouble for me.,1
231,Ɛsɛ sɛ yɛma yɛn ani da hɔ.,We must remain vigilant.,1
234,Ɔfew n'ano.,She was kissed by him.,1
238,"Sɛ odu hɔ pɛ a, mɛka akyerɛ no.","As soon as he arrives, I'll tell him.",1
242,"Wokae no, ɛnte saa?","You remember him, don't you?",1
246,Minni sika nnɛ.,I have no money today.,1
249,M'ani begye ho sɛ mehu Asamoah bio.,I'd like to see Asamoah one more time.,1
253,"Sɛ ade sa a, na wo ho ntɔ wo.",You had better not go after dark.,1
256,Ɔkɔɔ so sɔɔ no hwɛe.,He carried on with his experiment.,1
260,Me telefon foforo no ye sen me telefon dedaw no.,My new phone is thinner than my old phone.,1
264,Amerika atubrafo a wodi kan no duu hɔ wɔ afeha a ɛto so 17 no mu.,The first American colonists arrived in the 17th century.,1
268,So wo kraman no kyerɛ biribi?,Is your dog mean?,1
272,Manim Asamoah bere tenten.,I've known Asamoah for a long time.,1
275,Ɛno yɛ anigyesɛm ma me.,That's good news to me.,1
278,Ɛyɛ pɛ!,Perfect!,1
282,Wiase no mu hena na wususuw sɛ woyɛ bi?,Who in the world do you think you are?,1
285,Mekɔɔ adidibea hɔ kodii awia.,I entered the restaurant and had lunch.,1
288,"Sɛnea Asamoah ka kyerɛɛ Esi no, ɔkae sɛ ɔmma John kɔfe kuruwa biako.",Asamoah suggested to Esi that she offer John a cup of coffee.,1
292,"Onyaa ne ti didii mu wɔ akwanhyia bi a esii afe a etwaam no mu, nanso na ɔda so ara de n'ani kyerɛ soro.","He survived an accident last year, but still drives recklessly.",1
295,Mikyinkyin kakra.,I wandered around for a while.,1
298,Makɔ nea ɛto so abien.,I've gone to Kyoto twice.,1
302,Wɔyɛɛ me sɛ metwɛn mmoro simma 30.,I was made to wait for over 30 minutes.,1
306,Ɛsɛ sɛ mekɔ so tra hɔ.,I've got to keep going.,1
310,Me botae ne sɛ mɛyɛ ɔkyerɛkyerɛfo.,My dream is to become a teacher.,1
313,"Esiane ahum no nti, hyɛn no antumi amfi po so hyɛn gyinabea hɔ.","Because of the storm, the ship couldn't leave port.",1
317,Wɔkyerɛ sɛ asase so hyew a ayɛ no fi carbon dioxide ankasa.,It is said that global warming is directly related to carbon dioxide emissions.,1
321,Ɔmaa me nsa kaa ne kyerɛwtohɔ ahorow.,She gave me access to her records.,1
325,So wohyɛɛ no nkuran sɛ ɔnkɔ polisifo hɔ?,Did you advise him to go to the police?,1
328,Mepɛ sɛ meyɛ obi a ɔhwehwɛ nneɛma mu.,I want to be an actress.,1
331,Hena na ɔka kyerɛɛ wo sɛ mintumi nnom nsu?,Who told you I wasn't able to swim?,1
335,Mifii ase tee nea enti a wonhaw wo ho sɛ wobɛkyerɛkyerɛ nneɛma mu akyerɛ Noh no ase.,I'm beginning to understand why you don't bother to try to explain things to Asamoah.,1
338,Ɔwɔ sakre.,She has a bicycle.,1
341,Obi ho a obekum yɛ adeyɛ a anibere wom.,Suicide is a desperate act.,1
345,Ná Esi yɛ nkɔmmɔbɔ a ɛyɛ anigye.,Asamoah had a nice chat with Esi.,1
349,Mepɛ sɛ wo ne me san ba.,I want you to come back with me.,1
352,Ɛsɛ sɛ mekɔ nnɛyi nhyiam.,I should've gone to yesterday's meeting.,1
356,Yɛn kyerɛkyerɛfo no ma yenya sukuu dwumadi pii.,Our teacher gives us a lot of homework.,1
359,Ɔbea bi a ne mfe akɔ anim ka kyerɛɛ Asamoah sɛ ɔte sɛ Charles Darwin.,Some old lady told Asamoah that he looked like Charles Darwin.,1
363,Nnipa baahe na wɔte wo kurom?,How many people live in your town?,1
367,Wɔasi gyinae sɛ wɔbɛbɛn saa adwinnan no.,They've decided to close that factory.,1
371,Mede nsu hyɛɛ kuku bi mu ma.,I filled a vase with water.,1
374,Kwaku ntumi ntu ntɛm sɛnea Abena betumi ayɛ no.,Kwaku can't move as quickly as Abena can.,1
378,Minim sɛ ade biako a yebetumi ayɛ ne anigye.,I know one thing we could do that might be fun.,1
382,Nyansahu yɛ den dodo.,Science is too hard.,1
386,Kwaku anyɛ bɔne biara.,Kwaku didn't mean any harm.,1
389,Mamfa me ho anto wo so.,I didn't hang up on you.,1
393,Kwaku dii akɔneaba.,Kwaku waved.,1
396,Minnim nipa ko a ɔyɛ.,I don't know what kind of person he is.,1
399,"Mepɛ mmuae tẽẽ, nanso biribiara nni hɔ bio.",I just want a straight answer. Nothing more.,1
403,So na wunim sɛ wɔn mu binom te bepɔw yi so?,Did you know that some foxes lived on this mountain?,1
406,So wunim ɔkwan bi a wɔfa so tete akraman?,Do you know anything about training dogs?,1
409,"Nokwarem no, nsɛm ho amanneɛbɔ Kwame Jackson nyɛ adwuma no so panyin.",Kwame Jackson is actually not the manager.,1
412,Ɔyɛ yɔnko a n'asɛm yɛ mmɔbɔ.,He is an unpleasant fellow.,1
415,Mayɛ biribiara a woka kyerɛɛ me no.,I've done everything you asked me to.,1
418,Mma aboa no kwan mma ɔnkɔ.,Don't let the cat out.,1
421,Ɔkɔm rekum yɛn.,We're starving.,1
424,Ɔbɛsan aba nnansa yi ara.,She will come back before long.,1
427,Egye obi na wahu emu biako.,It takes one to know one.,1
430,"Efi saa bere no, minni adagyew koraa.",I have not been busy since yesterday.,1
433,M'ani wɔ me ho so paa.,I'm seeing ghosts.,1
436,"Mebɔɔ mmɔden mprenu, nanso emu biara anyɛ yiye.","I tried twice, but neither try worked.",1
439,Ɔyɛ me babea a meso no dae.,She is my dream girl.,1
442,Wɔyɛ mmofra pa.,They're nice kids.,1
445,ɔyarehwɛfo no bɛkyerɛ wo ɔkwan a wobɛfa so ayɛ saa.,The nurse will tell you how to do it.,1
448,Mmea ani gye ho saa.,Women love that.,1
451,M'ani gye nhoma akenkan ho.,I like reading books.,1
454,Ɔwɔ suban pa ankasa.,She has a very good figure.,1
457,"Nokwarem no, osu bɛtɔ.","It's going to rain, for sure.",1
460,Ɛsɛ sɛ yehu akokoaa foforo bi a wɔawo no foforo.,We've got to find a new babysitter.,1
